	S1a	S1b	S1c	S2a	S2b	S2c	S3a	S3b	S3c
8e139b9e595a6cd21f3c539b750b5dc0	4	0	0	0	0	0	0	0	0
4b85958c08ad5dc4b8e1748d98c5688d	0	0	0	0	6	0	0	0	0
1289d6a88a36d0f4396a79856e08fe90	0	38	0	0	0	0	0	0	0
dd66962e0bac75f941a1c03cb9d37c82	65	0	0	0	0	0	0	0	0
311f4ef4e16f804babae6549bf5e2fb4	5	0	0	0	0	0	0	0	0
25685ea32df9e3f189be27a69ae78d40	0	0	0	0	0	0	0	30	0
ab7704f1a078d6c3532f1cee91613785	0	0	0	0	0	104	0	0	0
ba8ca9a4960e0769da99f8b9e076a6f5	0	8	0	0	0	0	0	0	0
b3838a51a6f5d9d7c15863d60024f2c8	0	0	0	0	0	9	0	0	0
7447c8436de14efb0b617be842ebe983	0	0	0	0	44	0	0	0	0
3ea90231cf10c3044421145f6bea913e	7	0	0	0	0	0	0	0	0
2bca92588c19236259c06d0956535db3	0	0	0	0	0	0	0	4	0
a789be1e130bfd89204717de596de850	0	2	0	0	0	0	0	0	0
2be7b2464fe7a1f4aab04c92ec447321	4	0	0	0	0	0	0	0	0
ae381f932cc3f3d8421eb278bef1f343	0	0	0	48	0	0	0	0	0
b2ccf4609707cc80f6e30f5a102d3efd	0	7	0	0	0	0	0	0	0
c65f6241be3c4b0db38551c3cf4b5aa6	0	0	0	0	0	0	0	10	0
cc5bc5c1ed6beba187dcfe3644950d61	0	0	3	0	0	0	0	0	0
b7c30964f664f26ba50b9e7e397072a5	0	4	0	0	0	0	0	0	0
cdf05d1d6733f8bebbfa607eac5356cf	0	0	0	0	3	0	0	0	0
099f66802446fcda33f2069acffcf9e5	0	0	0	0	0	97	0	0	0
802d7cef83c97ce64f9ac466f1dd292f	0	40	0	0	0	0	0	0	0
b2874e94359ecc02d9b5627026e15497	0	0	0	5	0	0	0	0	0
0919c7bde24f77d765bbe9b28326d163	0	0	0	2	0	0	0	0	0
2d566f84d6c7431ec08cec10cf40ae0c	0	0	0	0	4	0	0	0	0
193ea5c336b7f27c8713041061f1d519	0	0	0	0	93	0	0	0	0
197ace6577b65f0faa83bd1eedec9111	0	10	0	0	0	0	0	0	0
ec2bef8dd4917fa0f70dc053e23e9056	0	0	0	0	52	0	0	0	0
348f17bd734af8a0ca48bd1cad7c8dd2	0	0	0	9	0	0	0	0	0
155a2c98ee2459d3148b37c26720286d	0	0	0	0	0	73	0	0	0
cea37a5f569fa2154f1415578b9c9c05	0	0	0	0	0	0	18	0	0
a9f13fc951798475163d761350305b42	0	0	0	23	0	0	0	0	0
49cb44eae12bd68a4f0fd70325c8e4d7	0	4	0	0	0	0	0	0	0
435db5c785b65d91e65e7de80d540b36	0	0	86	0	0	0	0	0	0
888611b4980acf383e05c0f3cf151bb3	0	0	0	0	8	0	0	0	0
c7102553b72a1ad8b4e037b7713d4ac8	11	0	0	0	0	0	0	0	0
904d64c609c71031fe158a5468acee8e	0	0	0	0	0	0	0	56	0
4c27543666ffc63bf5d1c6aaa338af8f	0	0	0	0	7	0	0	0	0
ccbf8c7a52a7fe7bb78ef6beea1f7d2d	0	0	0	0	0	0	0	0	2
7986f3471d6721fc23ca775f51935f94	0	0	0	0	0	0	5	0	0
18d9c17f9cf7bd40142427ab6fa1b258	0	0	0	0	0	0	0	0	19
8627553ce28a26d847afbe105bdfc3ca	0	0	0	0	0	0	0	0	60
176f0450f55d8855c479f7a4a0898fbf	0	0	0	0	0	9	0	0	0
0ec87c47e96358dd3830c1ba34b54ec0	0	5	0	0	0	0	0	0	0
a926a7d4ddd61b7ea29bfcdb67339a9e	0	0	0	15	0	0	0	0	0
85c8ba6867749c59b04ec527cfca82b7	0	0	8	0	0	0	0	0	0
77206aeee24d62b92216b782cf450800	0	0	0	0	0	5	0	0	0
94caae71208ca48532f3faf5f5de1dbf	0	0	0	0	0	0	0	0	54
9be5fbf31161faf9ab8f610c2d85f623	0	0	0	0	0	0	11	0	0
0f3015e1ab01d1d2f768748c65e6648c	0	0	0	0	0	0	0	0	5
6c7545598cb1510d5e82ac78a11757b0	0	0	0	0	8	0	0	0	0
1ca2f779fd1d57d9fc8b2ae03c221f94	0	0	0	0	40	0	0	0	0
2c62aaa978c1996fe9c1d1bb66f8c57e	0	0	0	104	0	0	0	0	0
e3a10b8c7a9f475ef55496baa32ba947	0	0	0	0	0	0	0	11	0
8542a0a47e117432aafca8ade0717d00	0	0	0	0	8	0	0	0	0
48616cc1bdae5571bb0e0292ce93d8af	0	0	0	0	0	0	0	0	2
4a9dd5c64cd7b6cc6f2566a9a448b107	0	0	0	40	0	0	0	0	0
61e926e8acf5029dfbe231ee0ac05c0f	0	0	0	0	0	0	0	0	58
675e6d16626ff710e717798296053169	0	0	0	0	0	64	0	0	0
dfd1dbb9e7c51a6b4b8c516e2b7f4e9f	0	72	0	103	0	0	0	0	0
f8d1d9520433afae16f34e8ff87fa30c	0	0	0	0	0	0	61	0	0
197229f3b49256c2902edae952106250	0	0	0	0	44	0	0	0	0
0bb8d3f2cf2b4bc48912f5c7e9b0401e	96	0	0	0	0	0	0	0	0
1a71881c325ebafe26eecd93abc9c6ba	0	0	0	0	34	0	0	0	0
978963f2b3ad5a68a2ada3f75f2682e7	0	0	0	0	10	0	0	0	0
fc3275cf884d39debc634afb8977d2e4	0	0	0	0	0	99	0	0	0
46680b24551b341b1aee33e15e503ca8	91	0	0	0	0	0	0	0	0
e97dbd056bfd82d799a01d7047a259aa	0	0	0	0	0	0	0	0	3
e38a5ee31d8d5fb5c4b9f61e0a2241e3	0	3	0	0	0	0	0	0	0
72f3598df4e4cbeab0b7cca00c59a06d	0	4	0	0	0	0	0	0	0
47cceee25f043178b583c6d8c891f1b8	0	0	0	0	3	0	0	0	0
29f7c311fc7b166dcfc29b0fa8ccab7e	0	0	0	8	0	0	0	0	0
16a98b12f46412f32d3cc396b55ca860	0	10	0	0	0	0	0	0	0
c74c9023cb4f69bdd7fcc8301ff60219	0	0	4	0	0	0	0	0	0
