	Domain	Phylum	Class	Order	Family	Genus	Species
3d936c2b1991dc1d60f3e58384086611	d__Bacteria	 p__Chloroflexi	 c__Ktedonobacteria	 o__C0119	 f__C0119	 g__C0119	 s__uncultured_soil
4297d9104bcfb869330c11854476937d	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
4236f8480c242449154ea9f8bc1381ae	d__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Parcubacteria	 f__Parcubacteria	 g__Parcubacteria	unknown
6c45a7646b80d4b45b72dc6a1ee927a1	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Entomoplasmatales	 f__type_III	 g__type_III	 s__uncultured_Mollicutes
f385ac9c34b6d2e52f4693546be781a8	d__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Parcubacteria	 f__Parcubacteria	 g__Parcubacteria	 s__uncultured_bacterium
afddb5d75e90a28a8d8f6f3c9c073240	d__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Parcubacteria	 f__Parcubacteria	 g__Parcubacteria	 s__uncultured_bacterium
ab460f9f3ab5dfad494cd2c79d467514	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__67-14	 g__67-14	 s__uncultured_soil
778a0cf7ef78363753fd6233257588af	d__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__uncultured	 g__uncultured	 s__uncultured_soil
19999e14e1d382f00c81fbd2ccffef03	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__Blastocatellales	 f__Blastocatellaceae	 g__Stenotrophobacter	unknown
2c0df9107a75f25eea212a11a16c319d	d__Bacteria	 p__Sumerlaeota	 c__Sumerlaeia	 o__Sumerlaeales	 f__Sumerlaeaceae	 g__Sumerlaea	 s__metagenome
5e0a8d8329613a5970d6193713a45a2c	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	unknown	unknown	unknown
6d2670ef2cd0c8f6c14ee60c2d35d9ab	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_Chloroflexi
8b91d8d0f726b0036f2474614316f08f	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_bacterium
2f49c14e6b0fe60a64bdbaf1f45b3404	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Anaerolineaceae
9ba4d8e5566a04608776f3a09490892e	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Anaerolineaceae
